Main Value,County,State
25.95,CARROLL,Iowa
17.24,CASS,Iowa
17.59,CEDAR,Iowa
20.05,CERRO GORDO,Iowa
22.12,CHEROKEE,Iowa
20.0,CHICKASAW,Iowa
26.0,CLARKE,Iowa
20.12,CLAY,Iowa
29.41,CLAYTON,Iowa
20.32,CLINTON,Iowa
7.69,CRAWFORD,Iowa
16.18,DALLAS,Iowa
13.04,DAVIS,Iowa
22.06,DECATUR,Iowa
16.81,DELAWARE,Iowa
14.33,DES MOINES,Iowa
20.1,DICKINSON,Iowa
15.71,DUBUQUE,Iowa
25.88,EMMET,Iowa
26.8,FAYETTE,Iowa
21.68,FLOYD,Iowa
21.92,FRANKLIN,Iowa
16.07,FREMONT,Iowa
19.48,GREENE,Iowa
19.54,GRUNDY,Iowa
14.0,GUTHRIE,Iowa
9.09,HAMILTON,Iowa
17.65,HANCOCK,Iowa
14.77,HARDIN,Iowa
29.52,HARRISON,Iowa
17.11,HENRY,Iowa
24.75,HOWARD,Iowa
23.73,HUMBOLDT,Iowa
27.94,IDA,Iowa
22.03,IOWA,Iowa
25.96,JACKSON,Iowa
17.29,JASPER,Iowa
12.99,JEFFERSON,Iowa
15.45,JOHNSON,Iowa
14.91,JONES,Iowa
19.79,KEOKUK,Iowa
16.54,KOSSUTH,Iowa
23.61,LEE,Iowa
22.95,LINN,Iowa
27.27,LOUISA,Iowa
15.38,LUCAS,Iowa
22.78,LYON,Iowa
19.05,MADISON,Iowa
17.33,MAHASKA,Iowa
21.28,MARION,Iowa
22.64,MARSHALL,Iowa
36.67,MILLS,Iowa
22.03,MITCHELL,Iowa
20.0,MONONA,Iowa
21.62,MONROE,Iowa
19.1,MONTGOMERY,Iowa
22.12,MUSCATINE,Iowa
19.2,OBRIEN,Iowa
22.39,OSCEOLA,Iowa
26.76,PAGE,Iowa
22.78,PALO ALTO,Iowa
32.28,PLYMOUTH,Iowa
22.78,POCAHONTAS,Iowa
19.38,POLK,Iowa
26.39,POTTAWATTAMIE,Iowa
13.57,POWESHIEK,Iowa
14.0,RINGGOLD,Iowa
19.78,SAC,Iowa
23.6,SCOTT,Iowa
26.04,SHELBY,Iowa
18.61,SIOUX,Iowa
17.55,STORY,Iowa
18.18,TAMA,Iowa
22.03,TAYLOR,Iowa
21.9,UNION,Iowa
11.48,VAN BUREN,Iowa
23.4,WAPELLO,Iowa
17.83,WARREN,Iowa
22.09,WASHINGTON,Iowa
20.75,WAYNE,Iowa
18.77,WEBSTER,Iowa
31.46,WINNEBAGO,Iowa
28.48,WINNESHIEK,Iowa
25.05,WOODBURY,Iowa
11.11,WORTH,Iowa
22.88,WRIGHT,Iowa
18.18,ALLEN,Kansas
24.29,ANDERSON,Kansas
23.86,ATCHISON,Kansas
17.14,BARBER,Kansas
